"BUName","ParentBUName","Description","Website"
"Customer-Master","defra-custmstr-dev","The main business unit to own the Customer data",
"Imports","defra-custmstr-dev","Business unit to capture the Defra Imports specific data",
"Exports","defra-custmstr-dev","Business unit to capture the Defra Exports specific data",
"Chemicals","defra-custmstr-dev","Business unit to capture the Defra Checmicals specific data",
"VMD","defra-custmstr-dev","Business unit to capture the Defra VMD (Veterniray Medicines Directorate specific data",
"MMO","defra-custmstr-dev","Business unit to capture the Defra MMO (Marine Management Organisation specific data",
